obs_id,gw_id,side,role,conflict_id,year
222-2018,775,A,primary,222,2018
223-1948,775,A,primary,223,1948
223-1949,775,A,primary,223,1949
223-1950,775,A,primary,223,1950
223-1951,775,A,primary,223,1951
223-1952,775,A,primary,223,1952
223-1953,775,A,primary,223,1953
223-1954,775,A,primary,223,1954
223-1955,775,A,primary,223,1955
223-1956,775,A,primary,223,1956
223-1957,775,A,primary,223,1957
223-1958,775,A,primary,223,1958
223-1959,775,A,primary,223,1959
223-1960,775,A,primary,223,1960
223-1961,775,A,primary,223,1961
223-1964,775,A,primary,223,1964
223-1965,775,A,primary,223,1965
223-1966,775,A,primary,223,1966
223-1967,775,A,primary,223,1967
223-1968,775,A,primary,223,1968
223-1969,775,A,primary,223,1969
223-1970,775,A,primary,223,1970
223-1971,775,A,primary,223,1971
223-1972,775,A,primary,223,1972
223-1973,775,A,primary,223,1973
223-1974,775,A,primary,223,1974
223-1975,775,A,primary,223,1975
223-1976,775,A,primary,223,1976
223-1977,775,A,primary,223,1977
223-1978,775,A,primary,223,1978
223-1991,775,A,primary,223,1991
223-1994,775,A,primary,223,1994
223-2016,775,A,primary,223,2016
223-2017,775,A,primary,223,2017
223-2018,775,A,primary,223,2018
224-1949,775,A,primary,224,1949
224-1950,775,A,primary,224,1950
224-1951,775,A,primary,224,1951
224-1952,775,A,primary,224,1952
224-1953,775,A,primary,224,1953
224-1954,775,A,primary,224,1954
224-1955,775,A,primary,224,1955
224-1956,775,A,primary,224,1956
224-1957,775,A,primary,224,1957
224-1958,775,A,primary,224,1958
224-1959,775,A,primary,224,1959
224-1960,775,A,primary,224,1960
224-1961,775,A,primary,224,1961
224-1962,775,A,primary,224,1962
224-1963,775,A,primary,224,1963
224-1990,775,A,primary,224,1990
224-1996,775,A,primary,224,1996
225-1948,94,A,primary,225,1948
226-1948,751,A,primary,226,1948
226-1948,750,B,primary,226,1948
227-1948,750,A,primary,227,1948
227-1949,750,A,primary,227,1949
227-1950,750,A,primary,227,1950
227-1951,750,A,primary,227,1951
227-1969,750,A,primary,227,1969
227-1970,750,A,primary,227,1970
227-1971,750,A,primary,227,1971
227-1991,750,A,primary,227,1991
227-1992,750,A,primary,227,1992
227-1993,750,A,primary,227,1993
227-1994,750,A,primary,227,1994
227-1996,750,A,primary,227,1996
227-1997,750,A,primary,227,1997
227-1998,750,A,primary,227,1998
227-1999,750,A,primary,227,1999
227-2000,750,A,primary,227,2000
227-2001,750,A,primary,227,2001
227-2002,750,A,primary,227,2002
227-2003,750,A,primary,227,2003
227-2004,750,A,primary,227,2004
227-2005,750,A,primary,227,2005
227-2006,750,A,primary,227,2006
227-2007,750,A,primary,227,2007
227-2008,750,A,primary,227,2008
227-2009,750,A,primary,227,2009
227-2010,750,A,primary,227,2010
227-2011,750,A,primary,227,2011
227-2012,750,A,primary,227,2012
227-2013,750,A,primary,227,2013
227-2014,750,A,primary,227,2014
227-2015,750,A,primary,227,2015
227-2016,750,A,primary,227,2016
227-2017,750,A,primary,227,2017
227-2018,750,A,primary,227,2018
228-1948,651,A,primary,228,1948
228-1948,645,A,primary,228,1948
228-1948,663,A,primary,228,1948
228-1948,660,A,primary,228,1948
228-1948,652,A,primary,228,1948
228-1948,666,B,primary,228,1948
228-1949,651,A,primary,228,1949
228-1949,645,A,primary,228,1949
228-1949,663,A,primary,228,1949
228-1949,660,A,primary,228,1949
228-1949,652,A,primary,228,1949
228-1949,666,B,primary,228,1949
229-1948,200,A,primary,229,1948
229-1949,200,A,primary,229,1949
229-1949,920,A,secondary,229,1949
229-1950,200,A,primary,229,1950
229-1950,900,A,secondary,229,1950
229-1950,920,A,secondary,229,1950
229-1951,200,A,primary,229,1951
229-1951,900,A,secondary,229,1951
229-1951,920,A,secondary,229,1951
229-1952,200,A,primary,229,1952
229-1952,900,A,secondary,229,1952
229-1952,920,A,secondary,229,1952
229-1953,200,A,primary,229,1953
229-1953,900,A,secondary,229,1953
229-1953,920,A,secondary,229,1953
229-1954,200,A,primary,229,1954
229-1954,900,A,secondary,229,1954
229-1954,920,A,secondary,229,1954
229-1955,200,A,primary,229,1955
229-1955,900,A,secondary,229,1955
229-1955,920,A,secondary,229,1955
229-1956,200,A,primary,229,1956
229-1956,900,A,secondary,229,1956
229-1956,920,A,secondary,229,1956
229-1957,200,A,primary,229,1957
229-1957,900,A,secondary,229,1957
229-1957,920,A,secondary,229,1957
230-1948,678,A,primary,230,1948
230-1962,678,A,primary,230,1962
230-1962,651,A,secondary,230,1962
230-1963,678,A,primary,230,1963
230-1963,651,A,secondary,230,1963
230-1964,678,A,primary,230,1964
230-1964,651,A,secondary,230,1964
230-1965,678,A,primary,230,1965
230-1965,651,A,secondary,230,1965
230-1966,678,A,primary,230,1966
230-1966,651,A,secondary,230,1966
230-1967,678,A,primary,230,1967
230-1967,651,A,secondary,230,1967
230-1968,678,A,primary,230,1968
230-1968,651,A,secondary,230,1968
230-1969,678,A,primary,230,1969
230-1969,651,A,secondary,230,1969
230-1970,678,A,primary,230,1970
230-1970,651,A,secondary,230,1970
230-1979,678,A,primary,230,1979
230-1980,678,A,primary,230,1980
230-1981,678,A,primary,230,1981
230-1982,678,A,primary,230,1982
230-2009,678,A,primary,230,2009
230-2009,2,A,secondary,230,2009
230-2010,678,A,primary,230,2010
230-2010,2,A,secondary,230,2010
230-2011,678,A,primary,230,2011
230-2011,2,A,secondary,230,2011
230-2012,678,A,primary,230,2012
230-2012,2,A,secondary,230,2012
230-2013,678,A,primary,230,2013
230-2013,2,A,secondary,230,2013
230-2014,678,A,primary,230,2014
230-2014,2,A,secondary,230,2014
230-2015,678,A,primary,230,2015
230-2015,692,B,secondary,230,2015
230-2015,651,B,secondary,230,2015
230-2015,663,B,secondary,230,2015
230-2015,690,B,secondary,230,2015
230-2015,600,B,secondary,230,2015
230-2015,694,B,secondary,230,2015
230-2015,670,B,secondary,230,2015
230-2015,625,B,secondary,230,2015
230-2015,696,B,secondary,230,2015
230-2016,678,A,primary,230,2016
230-2016,692,B,secondary,230,2016
230-2016,651,B,secondary,230,2016
230-2016,663,B,secondary,230,2016
230-2016,690,B,secondary,230,2016
230-2016,600,B,secondary,230,2016
230-2016,694,B,secondary,230,2016
230-2016,670,B,secondary,230,2016
230-2016,625,B,secondary,230,2016
230-2016,696,B,secondary,230,2016
230-2017,678,A,primary,230,2017
230-2017,692,B,secondary,230,2017
230-2017,651,B,secondary,230,2017
230-2017,663,B,secondary,230,2017
230-2017,600,B,secondary,230,2017
230-2017,694,B,secondary,230,2017
230-2017,670,B,secondary,230,2017
230-2017,625,B,secondary,230,2017
230-2017,696,B,secondary,230,2017
230-2018,678,A,primary,230,2018
230-2018,692,B,secondary,230,2018
230-2018,600,B,secondary,230,2018
230-2018,670,B,secondary,230,2018
230-2018,625,B,secondary,230,2018
230-2018,696,B,secondary,230,2018
231-1949,775,A,primary,231,1949
231-1950,775,A,primary,231,1950
231-1961,775,A,primary,231,1961
231-1962,775,A,primary,231,1962
231-1963,775,A,primary,231,1963
231-1964,775,A,primary,231,1964
231-1965,775,A,primary,231,1965
231-1966,775,A,primary,231,1966
231-1967,775,A,primary,231,1967
231-1968,775,A,primary,231,1968
231-1969,775,A,primary,231,1969
231-1970,775,A,primary,231,1970
231-1971,775,A,primary,231,1971
231-1972,775,A,primary,231,1972
231-1973,775,A,primary,231,1973
231-1974,775,A,primary,231,1974
231-1975,775,A,primary,231,1975
231-1976,775,A,primary,231,1976
231-1977,775,A,primary,231,1977
231-1978,775,A,primary,231,1978
231-1979,775,A,primary,231,1979
231-1980,775,A,primary,231,1980
231-1981,775,A,primary,231,1981
231-1982,775,A,primary,231,1982
231-1983,775,A,primary,231,1983
231-1984,775,A,primary,231,1984
231-1985,775,A,primary,231,1985
231-1986,775,A,primary,231,1986
231-1987,775,A,primary,231,1987
231-1988,775,A,primary,231,1988
231-1989,775,A,primary,231,1989
231-1990,775,A,primary,231,1990
231-1991,775,A,primary,231,1991
231-1992,775,A,primary,231,1992
