new_id,old_id,name
351,1194,Parliamentary Forces
352,1195,Chechen Republic of Ichkeria
353,1196,Democratic Republic of Yemen
354,1197,MQM
355,1198,TNSM
356,1199,TTP
357,1200,UCK
358,1201,Wahhabi movement of the Buinaksk district
359,1202,IMU
360,1203,JIG
361,1204,UCK
362,1205,ABSU
363,1206,NDFB
364,1207,UWSA
365,1208,Patani insurgents
366,1209,Hezbollah
367,1210,Forces of the Caucasus Emirate
368,1211,DHD - BW
369,1212,PULF
370,1213,Croatian irregulars
371,1214,Serbian irregulars
372,1215,Supporters of Awami League
373,1216,BLTF
374,1217,Supporters of BNP
375,1218,Forces of Abdul Rahman Khan
376,1219,Forces of Amanullah
377,1220,Forces of Amanullah Khan
378,1221,Forces of Arbab Basir
379,1222,Forces of Ismail Khan
380,1223,Forces of Rashid Abdul Dostum
381,1224,Forces of Mohammad Atta Noor
382,1225,Gazotan Murdash
383,1226,GICM
384,1228,Jamaat Jund al-Sahaba
385,1229,Jemaah Islamiya
386,1230,Karbi
387,1231,Kuki
388,1232,LeJ
389,1233,LTTE - K
390,1234,Lumad
391,1235,Moro
392,1236,Ranvir Sena
393,1237,Salafia Jihadia
394,1238,SIMI
395,1239,Tawhid wal Jihad
396,1240,UPDS
397,1241,VHP
398,1243,Ansaar ul-Islam
399,1244,Lashkar-e-Islam
400,1245,Mau Mau
401,1246,Istiqlal
402,1247,National Liberation Army
403,1248,FLN
404,1249,MNA
405,1250,MPLA
406,1251,State of Katanga
407,1252,Independent Mining State of South Kasai
408,1253,Military faction (forces of Mengistu Neway)
409,1254,EPRP
410,1255,TPLF
411,1256,EDU
412,1257,EPDM
413,1258,Military faction (forces of Amsha Desta and Merid Negusie)
414,1259,EPRDF
415,1260,ELF
416,1261,EPLF
417,1263,PAIGC
418,1264,SSLM
419,1265,CNL
420,1266,Military Faction (Forces of Jean Schramme)
421,1267,FLNC
422,1268,AFDL
423,1269,MLC
424,1270,RCD
425,1271,RCD-ML
426,1272,CNDP
427,1273,Military faction (forces loyal to Lon M'Ba)
428,1274,Frelimo
429,1275,Military faction (forces loyal to Gervais Nyangoma)
430,1276,Palipehutu
431,1277,CNDD
432,1278,Palipehutu-FNL
433,1279,Frolina
434,1280,CNDD-FDD
435,1281,Frolinat
436,1282,First Liberation Army
437,1283,Second Liberation Army
438,1284,FAN
439,1285,FAP
440,1286,FAT
441,1287,GUNT
442,1288,Islamic Legion
443,1289,Revolutionary Forces of 1 April
444,1290,MOSANAT
445,1291,MPS
446,1292,MDD
447,1293,CNR
448,1294,CSNPD
449,1295,Military faction (forces of Maldoum Bada Abbas)
450,1296,FNT
451,1297,FARF
452,1298,MDJT
453,1299,FUCD
454,1300,RAFD
455,1301,CDR
456,1302,UFDD
457,1303,NLC
458,1304,Military faction (forces of Jerry John Rawlings)
459,1305,Military faction (forces of Ekow Dennis and Edward Adjei-Ampofo)
460,1306,Military faction (forces of Patrick Nzeogwu)
461,1307,SWAPO
462,1308,Republic of Biafra
463,1309,RFDG
464,1310,Sudanese Communist Party
465,1311,Islamic Charter Front
466,1312,SPLM/A
467,1314,NDA
468,1315,JEM
469,1316,SLM/A
470,1317,NRF
471,1318,SLM/A - MM
472,1319,SLM/A-Unity
473,1320,Monima
474,1321,Military faction (forces of Mohamed Madbouh)
475,1322,Military faction (forces of Idi Amin)
476,1323,Kikosi Maalum
477,1324,Military faction (forces of Charles Arube)
478,1326,Fronasa
479,1327,UNLF
480,1328,FUNA
481,1329,NRA
482,1330,UNRF
483,1331,HSM
484,1332,UPDA
485,1333,UFM
486,1334,UPA
487,1335,Lord's Army
488,1336,LRA
489,1337,ADF
490,1338,WNBF
491,1339,UNRF II
492,1340,ZAPU
493,1341,ZANU
494,1342,PF
495,1343,EIJM - AS
496,1345,WSLF
497,1346,ONLF
498,1347,Renamo
499,1349,SSDF
500,1350,SNM
501,1351,SPM
502,1352,USC/SSA
503,1353,USC/SNA
504,1354,SRRC
505,1355,ARS/UIC
506,1357,Military faction (forces of Samuel Doe)
507,1358,NPFL
508,1359,INPFL
509,1360,LURD
510,1361,MODEL
511,1362,Rsistance Arme Tunisienne
512,1363,NRC
513,1364,ANC
514,1365,Military faction (forces of Hezekiah Ochuka)
515,1366,Military faction (forces of Ibrahim Saleh)
516,1367,MTD
517,1369,Popular Front
518,1370,Presidential guard
519,1371,ALF
520,1372,ARDUF
521,1373,MPA
522,1374,FIAA
523,1375,ATNMC
524,1376,FLAA
525,1377,CRA
526,1378,UFRA
527,1379,FPR
528,1380,FDLR
529,1381,MFDC
530,1382,FRUD
531,1383,FRUD - AD
532,1384,RUF
533,1385,AFRC
534,1386,Kamajors
535,1387,WSB
536,1388,Takfir wa'l Hijra
537,1389,AIS
538,1390,GIA
539,1391,AQIM
540,1392,FLEC-R
541,1393,FLEC-FAC
542,1394,AIAI
543,1395,FDR
544,1397,MPA/Republic of Anjouan
545,1398,Cobras
546,1399,Ninjas
547,1400,Cocoyes
548,1401,Ntsiloulous
549,1402,"Military Junta for the Consolidation of Democracy, Peace and Justice"
550,1403,Military faction
551,1404,OLF
552,1406,Military faction (forces of Andr Kolingba)
553,1407,Forces of Francois Bozize
554,1408,UFDR
555,1409,MJP
556,1410,MPCI
557,1411,MPIGO
558,1412,FRCI
559,1413,Ahlul Sunnah Jamaa
560,1414,NDPVF
561,1415,BDK
562,1416,MNJ
563,1417,POLISARIO
564,1418,UPC
565,1419,NLA
566,1420,FNLA
567,1421,UNITA
568,1422,Forces of Abdullahi Yusuf
569,1423,Abtisame subclan of Galje'el clan (Hawiye)
570,1424,Abudu
571,1425,Supporters of AD
572,1426,Afar
573,1427,Afi subclan of Galje'el clan (Hawiye)
