conflict_id,type_of_conflict,start_date,start_prec,end_date,incompatibility_isTerritory,incompatibility_isGovernment,territory_name
405,Interstate,1994-02-18,1,1996-05-07,1,0,Bakassi
406,Internal,1995-03-23,1,1995-07-10,1,0,Eastern Niger
407,Internal,1997-09-03,1,1997-09-05,1,0,Anjouan
408,Internal,1993-11-03,1,2016-12-10,0,1,
409,Interstate,1998-05-06,1,2016-06-13,1,0,Common border
410,Internal,1998-06-07,1,1999-05-07,0,1,
411,Internal,1998-09-04,1,1998-09-28,0,1,
412,Internal,1996-04-22,1,1999-11-21,1,0,Kosovo
413,Internal,1974-08-31,4,2016-12-31,1,0,Oromiya
414,Internal,1999-08-29,1,1999-09-09,1,0,Dagestan
415,Internal,1999-02-16,1,2004-07-30,0,1,
416,Internal,2001-05-27,1,,0,1,
417,Internal,2000-01-11,1,2001-08-17,0,1,
418,Internal,2001-09-11,1,2017-12-04,0,1,
419,Internal,2002-09-19,1,2011-04-27,0,1,
421,Internal,1989-02-16,1,2014-12-31,1,0,Bodoland
420,Interstate,2003-03-20,1,2003-04-28,0,1,
422,Internal,1997-03-16,5,1997-07-15,1,0,Wa
423,Internal,1965-12-31,5,,1,0,Patani
424,Internal,2003-12-28,2,2004-10-08,1,0,Northern Nigeria
425,Internal,2004-06-04,1,2004-09-20,1,0,Niger Delta
426,Internal,1986-09-30,4,2006-08-23,1,0,Southern Lebanon
427,Interstate,1978-11-11,2,1978-11-16,1,0,Kagera Salient
428,Internal,1975-12-10,1,1978-12-31,1,0,Sahrawi Arab Democratic Republic (Western Sahara)
429,Internal,1998-07-02,1,2017-08-31,1,0,Kongo Kingdom
430,Internal,1991-10-25,1,2008-11-16,0,1,
431,Interstate,1979-12-27,1,1979-12-28,0,1,
432,Internal,2007-10-07,1,2015-10-21,1,0,Caucasus Emirate
434,Internal,2000-06-20,1,2008-12-22,1,0,Islamic State
435,Interstate,2008-06-10,1,2008-06-11,1,0,Common border
436,Internal,1977-12-31,5,1980-12-31,1,0,"Arssi, Bale & Sidamo"
437,Internal,1982-12-31,5,1983-12-31,1,0,Sidamaland
439,Internal,2009-08-27,1,2017-03-12,1,0,Kokang
440,Internal,1973-01-11,2,1982-12-31,1,0,Lahu
442,Internal,2008-09-15,1,2011-10-20,0,1,
11342,Internal,1997-05-29,1,2014-11-27,1,0,Garoland
11343,Interstate,1967-06-05,1,1973-10-24,1,0,Suez/Sinai
11344,Internal,2011-05-01,1,2011-06-15,1,0,Abyei
11345,Internal,2011-08-20,2,,0,1,
11346,Internal,2011-02-28,1,2017-11-12,0,1,
11347,Internal,2009-06-14,2,,0,1,
11348,Interstate,2012-03-27,1,2012-12-26,1,0,Common border
11349,Internal,1990-04-05,1,2008-08-29,1,0,"East Turkestan
"
11350,Internal,1994-04-24,1,2006-12-22,0,1,
11447,Internal,1991-10-10,2,1991-10-10,1,0,Hararghe
11475,Internal,1991-12-31,3,2007-02-15,1,0,Nagaland
11487,Internal,2013-03-01,1,2013-04-24,1,0,Sabah
11884,Internal,1947-06-30,4,1948-09-18,0,1,
13042,Internal,2011-09-10,2,2015-07-25,1,0,Rojava Kurdistan
13219,Internal,2014-01-22,1,2014-02-21,0,1,
13246,Internal,2014-04-12,1,2014-09-16,1,0,Donetsk
13247,Internal,2014-05-04,1,2014-08-26,1,0,Lugansk
13639,Internal,2015-03-26,1,,1,0,Islamic State
13306,Internal,2014-09-17,1,,1,0,Novorossiya
13588,Internal,2015-03-21,1,,1,0,Islamic State
13604,Internal,2013-05-14,1,,1,0,Islamic State
13611,Internal,2015-01-05,1,2015-10-28,1,0,Macina Empire
13637,Internal,2015-02-09,1,,1,0,Islamic State
13638,Internal,2015-03-19,1,2016-10-06,1,0,Islamic State
13640,Internal,2015-05-27,1,,1,0,Islamic State
13641,Internal,2015-03-15,1,,1,0,Islamic State
13645,Internal,2015-03-20,1,2015-10-06,1,0,Islamic State
13646,Internal,2015-03-13,1,,1,0,Northeastern Province and Coast
13648,Internal,2014-11-16,1,,1,0,Islamic State
13653,Internal,2015-04-19,1,,1,0,Western South East Asia
13674,Internal,2015-11-04,1,2017-09-06,1,0,Islamic State
13675,Internal,2014-06-25,1,2017-08-27,1,0,Islamic State
13692,Interstate,2001-10-07,1,2001-11-13,0,1,
13694,Internal,2015-03-14,1,,1,0,Islamic State
13721,Internal,2014-10-10,1,2015-05-20,1,0,Islamic State
13809,Internal,2015-12-06,1,,1,1,Rojava Kurdistan
13886,Internal,2016-03-02,2,2016-12-29,1,0,Islamic State
13902,Internal,2015-07-23,1,2017-09-06,1,0,Islamic State
13936,Internal,2016-02-12,1,,1,0,Islamic State
14074,Internal,2018-01-08,1,,1,0,Somaliland
14129,Internal,2017-09-16,1,,1,0,Ambazonia
14268,Internal,2016-08-15,1,2017-06-11,1,0,Islamic State
14275,Internal,2016-06-01,1,,1,0,Islamic State
14333,Internal,2015-03-18,1,2016-11-09,1,0,Islamic State
14113,Internal,2017-02-04,1,,1,0,Islamic State
14609,Interstate,2018-02-10,1,,0,1,
