gw_id,abbr,gw_name,gw_startdate,gw_enddate
375,FIN,Finland,1917-12-06,2017-12-31
380,SWD,Sweden,1816-01-01,2017-12-31
385,NOR,Norway,1905-08-26,2017-12-31
390,DEN,Denmark,1816-01-01,2017-12-31
395,ICE,Iceland,1944-06-17,2017-12-31
402,CAP,Cape Verde,1975-07-05,2017-12-31
404,GNB,Guinea-Bissau,1974-09-10,2017-12-31
411,EQG,Equatorial Guinea,1968-10-12,2017-12-31
420,GAM,Gambia,1965-02-18,2017-12-31
432,MLI,Mali,1960-09-22,2017-12-31
433,SEN,Senegal,1960-04-04,2017-12-31
434,BEN,Benin,1960-08-01,2017-12-31
435,MAA,Mauritania,1960-11-28,2017-12-31
436,NIR,Niger,1960-08-03,2017-12-31
437,CDI,Cote DIvoire,1960-08-07,2017-12-31
438,GUI,Guinea,1958-10-02,2017-12-31
439,BFO,Burkina Faso (Upper Volta),1960-08-05,2017-12-31
450,LBR,Liberia,1847-07-26,2017-12-31
451,SIE,Sierra Leone,1961-04-27,2017-12-31
452,GHA,Ghana,1957-03-06,2017-12-31
461,TOG,Togo,1960-04-27,2017-12-31
471,CAO,Cameroon,1960-01-01,2017-12-31
475,NIG,Nigeria,1960-10-01,2017-12-31
481,GAB,Gabon,1960-08-17,2017-12-31
482,CEN,Central African Republic,1960-08-13,2017-12-31
483,CHA,Chad,1960-08-11,2017-12-31
484,CON,Congo,1960-08-15,2017-12-31
490,DRC,"Congo, Democratic Republic of (Zaire)",1960-06-30,2017-12-31
500,UGA,Uganda,1962-10-09,2017-12-31
501,KEN,Kenya,1963-12-12,2017-12-31
510,TAZ,Tanzania/Tanganyika,1961-12-09,2017-12-31
511,ZAN,Zanzibar,1963-12-19,1964-04-26
516,BUI,Burundi,1962-07-01,2017-12-31
517,RWA,Rwanda,1962-01-07,2017-12-31
520,SOM,Somalia,1960-07-01,2017-12-31
522,DJI,Djibouti,1977-06-27,2017-12-31
530,ETH,Ethiopia,1855-02-11,2017-12-31
531,ERI,Eritrea,1993-05-24,2017-12-31
540,ANG,Angola,1975-11-11,2017-12-31
541,MZM,Mozambique,1975-06-25,2017-12-31
551,ZAM,Zambia,1964-10-24,2017-12-31
552,ZIM,Zimbabwe (Rhodesia),1965-11-11,2017-12-31
553,MAW,Malawi,1964-07-06,2017-12-31
560,SAF,South Africa,1910-05-31,2017-12-31
565,NAM,Namibia,1990-03-21,2017-12-31
570,LES,Lesotho,1966-10-04,2017-12-31
571,BOT,Botswana,1966-09-30,2017-12-31
572,SWA,Swaziland,1968-09-06,2017-12-31
580,MAG,Madagascar,1960-06-26,2017-12-31
581,COM,Comoros,1975-07-06,2017-12-31
590,MAS,Mauritius,1968-03-12,2017-12-31
600,MOR,Morocco,1956-03-02,2017-12-31
615,ALG,Algeria,1962-07-05,2017-12-31
616,TUN,Tunisia,1956-01-01,2017-12-31
620,LIB,Libya,1951-12-24,2017-12-31
625,SUD,Sudan,1956-01-01,2017-12-31
626,SSD,South Sudan,2011-07-09,2017-12-31
630,IRN,Iran (Persia),1816-01-01,2017-12-31
640,TUR,Turkey (Ottoman Empire),1816-01-01,2017-12-31
645,IRQ,Iraq,1932-10-03,2017-12-31
651,EGY,Egypt,1922-02-28,2017-12-31
652,SYR,Syria,1946-01-01,2017-12-31
660,LEB,Lebanon,1944-11-22,2017-12-31
663,JOR,Jordan,1946-05-25,2017-12-31
666,ISR,Israel,1948-05-14,2017-12-31
670,SAU,Saudi Arabia,1932-09-23,2017-12-31
678,YEM,Yemen (Arab Republic of Yemen),1918-10-30,2017-12-31
680,YPR,"Yemen, People's Republic of",1967-11-30,1990-05-21
690,KUW,Kuwait,1961-06-19,2017-12-31
692,BAH,Bahrain,1971-08-15,2017-12-31
694,QAT,Qatar,1971-09-03,2017-12-31
696,UAE,United Arab Emirates,1971-12-02,2017-12-31
698,OMA,Oman,1816-01-01,2017-12-31
700,AFG,Afghanistan,1919-05-01,2017-12-31
701,TKM,Turkmenistan,1991-10-27,2017-12-31
702,TAJ,Tajikistan,1991-09-09,2017-12-31
703,KYR,Kyrgyz Republic,1991-08-31,2017-12-31
704,UZB,Uzbekistan,1991-08-31,2017-12-31
705,KZK,Kazakhstan,1991-12-16,2017-12-31
710,CHN,China,1816-01-01,2017-12-31
711,TBT,Tibet,1913-01-01,1950-10-01
712,MON,Mongolia,1921-03-13,2017-12-31
713,TAW,Taiwan,1949-12-08,2017-12-31
731,PRK,"Korea, People's Republic of",1948-09-09,2017-12-31
732,ROK,"Korea, Republic of",1948-08-15,2017-12-31
740,JPN,Japan,1816-01-01,2017-12-31
750,IND,India,1947-08-15,2017-12-31
760,BHU,Bhutan,1949-01-01,2017-12-31
770,PAK,Pakistan,1947-08-14,2017-12-31
771,BNG,Bangladesh,1971-12-16,2017-12-31
775,MYA,Myanmar (Burma),1948-01-04,2017-12-31
780,SRI,Sri Lanka (Ceylon),1948-02-04,2017-12-31
781,MAD,Maldives,1965-05-26,2017-12-31
790,NEP,Nepal,1816-01-01,2017-12-31
800,THI,Thailand,1816-01-01,2017-12-31
811,CAM,Cambodia (Kampuchea),1953-11-09,2017-12-31
812,LAO,Laos,1954-05-01,2017-12-31
816,DRV,"Vietnam, Democratic Republic of",1954-05-01,2017-12-31
817,RVN,"Vietnam, Republic of",1954-05-01,1975-04-30
820,MAL,Malaysia,1957-08-31,2017-12-31
830,SIN,Singapore,1965-08-09,2017-12-31
835,BRU,Brunei,1984-01-01,2017-12-31
840,PHI,Philippines,1946-07-04,2017-12-31
850,INS,Indonesia,1945-08-17,2017-12-31
860,ETM,East Timor,2002-05-20,2017-12-31
900,AUL,Australia,1901-01-01,2017-12-31
910,PNG,Papua New Guinea,1975-09-16,2017-12-31
920,NEW,New Zealand,1907-09-01,2017-12-31
940,SOL,Solomon Islands,1978-07-07,2017-12-31
950,FJI,Fiji,1970-10-10,2017-12-31
54,DMA,Dominica,1978-11-03,2017-12-31
55,GRN,Grenada,1974-02-07,2017-12-31
56,SLU,Saint Lucia,1979-02-22,2017-12-31
57,SVG,Saint Vincent and the Grenadines,1979-10-27,2017-12-31
58,AAB,Antigua & Barbuda,1981-11-01,2017-12-31
60,SKN,Saint Kitts and Nevis,1983-09-19,2017-12-31
221,MNC,Monaco,1816-01-01,2017-12-31
223,LIE,Liechtenstein,1816-01-01,2017-12-31
331,SNM,San Marino,1816-01-01,2017-12-31
232,AND,Andorra,1816-01-01,2017-12-31
396,ABK,Abkhazia,2008-08-26,2017-12-31
397,SOT,South Ossetia,2008-08-26,2017-12-31
403,STP,São Tomé and Principe,1975-07-12,2017-12-31
591,SEY,Seychelles,1976-06-29,2017-12-31
935,VAN,Vanuatu,1980-06-30,2017-12-31
970,KBI,Kiribati,1979-07-12,2017-12-31
971,NAU,Nauru,1968-12-31,2017-12-31
972,TON,Tonga,1970-06-04,2017-12-31
973,TUV,Tuvalu,1978-10-01,2017-12-31
983,MSI,Marshall Islands,1986-10-21,2017-12-31
986,PAL,Palau,1994-10-01,2017-12-31
987,FSM,Federated States of Micronesia,1986-11-03,2017-12-31
990,WSM,Samoa/Western Samoa,1962-01-01,2017-12-31
