country,year,cow_id,cow_warCount,cow_IsInitiator,cow_TimeAtWar,cow_IsSameRegion,cow_type_ExtraState,cow_type_InterState,cow_type_IntraState,cow_type_NonState,cow_status_compromised,cow_status_contConflict,cow_status_lost,cow_status_ongoing,cow_status_stalemate,cow_status_transWarType,cow_status_won
Antigua & Barbuda,1988,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1989,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1990,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1991,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1992,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1993,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1994,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1995,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1996,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1997,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1998,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,1999,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,2000,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,2001,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,2002,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,2003,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,2004,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,2005,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,2006,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,2007,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,2008,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1946,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1947,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1948,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1949,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1950,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1951,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1952,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1953,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1954,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1955,160,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Argentina,1956,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1957,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1958,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1959,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1960,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1961,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1962,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1963,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1964,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1965,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1966,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1967,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1968,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1969,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1970,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1971,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1972,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1973,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1974,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1975,160,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Argentina,1976,160,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Argentina,1977,160,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Argentina,1978,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1979,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1980,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1981,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1982,160,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Argentina,1983,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1984,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1985,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1986,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1987,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1988,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1989,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1990,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1991,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1992,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1993,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1994,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1995,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1996,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1997,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1998,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
